player,pos,age,game_date,league_id,team,game_location,opp,game_result,game_num,week_num,game_day_of_week,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
Royce Freeman,RB,22.211,2018-09-23,NFL,DEN,@,BAL,L 14-27,3,3,Sun,1,1,5,5.00,0,100.0%,5.00
Jake Butt,TE,23.074,2018-09-23,NFL,DEN,@,BAL,L 14-27,3,3,Sun,4,2,8,4.00,0,50.0%,2.00
Devontae Booker,RB,26.119,2018-09-23,NFL,DEN,@,BAL,L 14-27,3,3,Sun,7,5,34,6.80,0,71.4%,4.86
Luke Willson,TE,28.251,2018-09-23,NFL,DET,,NWE,W 26-10,3,3,Sun,3,2,10,5.00,0,66.7%,3.33
Golden Tate,WR,30.052,2018-09-23,NFL,DET,,NWE,W 26-10,3,3,Sun,8,6,69,11.50,0,75.0%,8.63
Theo Riddick,RB,27.142,2018-09-23,NFL,DET,,NWE,W 26-10,3,3,Sun,3,3,36,12.00,0,100.0%,12.00
T.J. Jones,WR,26.066,2018-09-23,NFL,DET,,NWE,W 26-10,3,3,Sun,2,1,4,4.00,0,50.0%,2.00
Marvin Jones,WR,28.195,2018-09-23,NFL,DET,,NWE,W 26-10,3,3,Sun,6,4,69,17.25,1,66.7%,11.50
Kerryon Johnson,RB,21.085,2018-09-23,NFL,DET,,NWE,W 26-10,3,3,Sun,3,2,9,4.50,0,66.7%,3.00
Kenny Golladay,WR,24.324,2018-09-23,NFL,DET,,NWE,W 26-10,3,3,Sun,7,6,53,8.83,1,85.7%,7.57
LeGarrette Blount,RB,31.292,2018-09-23,NFL,DET,,NWE,W 26-10,3,3,Sun,2,2,17,8.50,0,100.0%,8.50
Nick Bellore,FB,29.134,2018-09-23,NFL,DET,,NWE,W 26-10,3,3,Sun,1,1,-5,-5.00,0,100.0%,-5.00
Jamaal Williams,RB,23.173,2018-09-23,NFL,GNB,@,WAS,L 17-31,3,3,Sun,3,2,16,8.00,0,66.7%,5.33
Ty Montgomery,RB,25.244,2018-09-23,NFL,GNB,@,WAS,L 17-31,3,3,Sun,7,6,49,8.17,0,85.7%,7.00
Aaron Jones,RB,23.295,2018-09-23,NFL,GNB,@,WAS,L 17-31,3,3,Sun,1,1,5,5.00,0,100.0%,5.00
Jimmy Graham,TE,31.303,2018-09-23,NFL,GNB,@,WAS,L 17-31,3,3,Sun,7,5,45,9.00,0,71.4%,6.43
Randall Cobb,WR,28.032,2018-09-23,NFL,GNB,@,WAS,L 17-31,3,3,Sun,11,4,22,5.50,0,36.4%,2.00
